arich[0].feb[1].t1 : float(30.25)
arich[0].feb[1].t2 : float(30.25)
arich[0].feb[2].t1 : float(30)
arich[0].feb[2].t2 : float(29.9375)
arich[0].feb[3].t1 : float(30.25)
arich[0].feb[3].t2 : float(30)
arich[0].feb[4].t1 : float(30.625)
arich[0].feb[4].t2 : float(30.5625)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(31.6875)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(30.5625)
arich[1].feb[1].t2 : float(30.5625)
arich[1].feb[2].t1 : float(30.3125)
arich[1].feb[2].t2 : float(30.25)
arich[1].feb[3].t1 : float(30.4375)
arich[1].feb[3].t2 : float(30.4375)
arich[1].feb[4].t1 : float(30.0625)
arich[1].feb[4].t2 : float(29.9375)
arich[1].feb[5].t1 : float(30.4375)
arich[1].feb[5].t2 : float(30.3125)
arich[2].temp : float(31.8125)
arich[2].feb[0].t1 : float(30.5)
arich[2].feb[0].t2 : float(30.5625)
arich[2].feb[1].t1 : float(30.0625)
arich[2].feb[1].t2 : float(29.8125)
arich[2].feb[2].t1 : float(30.3125)
arich[2].feb[2].t2 : float(30.3125)
arich[2].feb[3].t1 : float(29.6875)
arich[2].feb[3].t2 : float(29.75)
arich[2].feb[4].t1 : float(29.375)
arich[2].feb[4].t2 : float(29.375)
arich[2].feb[5].t1 : float(29.9375)
arich[2].feb[5].t2 : float(30.0625)
arich[3].temp : float(30.5)
arich[3].feb[0].t1 : float(30.9375)
arich[3].feb[0].t2 : float(30.9375)
arich[3].feb[1].t1 : float(30.9375)
arich[3].feb[1].t2 : float(30.875)
arich[3].feb[2].t1 : float(30.0625)
arich[3].feb[2].t2 : float(29.9375)
arich[3].feb[3].t1 : float(30.3125)
arich[3].feb[3].t2 : float(30.125)
arich[3].feb[4].t1 : float(30.8125)
arich[3].feb[4].t2 : float(30.625)
arich[3].feb[5].t1 : float(31.125)
arich[3].feb[5].t2 : float(31.0625)
[2018-10-01 13:06:08] 
arich[0].temp : float(32.125)
arich[0].feb[0].t1 : float(30.9375)
arich[0].feb[0].t2 : float(30.9375)
arich[0].feb[1].t1 : float(31.125)
arich[0].feb[1].t2 : float(31.1875)
arich[0].feb[2].t1 : float(30.8125)
arich[0].feb[2].t2 : float(30.75)
arich[0].feb[3].t1 : float(31.1875)
arich[0].feb[3].t2 : float(30.9375)
arich[0].feb[4].t1 : float(31.6875)
arich[0].feb[4].t2 : float(31.625)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(31.9375)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(31.625)
arich[1].feb[1].t2 : float(31.6875)
arich[1].feb[2].t1 : float(31.3125)
arich[1].feb[2].t2 : float(31.3125)
arich[1].feb[3].t1 : float(31.4375)
arich[1].feb[3].t2 : float(31.4375)
arich[1].feb[4].t1 : float(30.9375)
arich[1].feb[4].t2 : float(30.75)
arich[1].feb[5].t1 : float(31.375)
arich[1].feb[5].t2 : float(31.25)
arich[2].temp : float(32.0625)
arich[2].feb[0].t1 : float(31.5)
arich[2].feb[0].t2 : float(31.5625)
arich[2].feb[1].t1 : float(30.875)
arich[2].feb[1].t2 : float(30.625)
arich[2].feb[2].t1 : float(31.25)
arich[2].feb[2].t2 : float(31.3125)
arich[2].feb[3].t1 : float(30.75)
arich[2].feb[3].t2 : float(30.8125)
arich[2].feb[4].t1 : float(30.3125)
arich[2].feb[4].t2 : float(30.25)
arich[2].feb[5].t1 : float(31.0625)
arich[2].feb[5].t2 : float(31.1875)
arich[3].temp : float(30.5625)
arich[3].feb[0].t1 : float(31.5625)
arich[3].feb[0].t2 : float(31.5625)
arich[3].feb[1].t1 : float(31.8125)
arich[3].feb[1].t2 : float(31.75)
arich[3].feb[2].t1 : float(30.75)
arich[3].feb[2].t2 : float(30.625)
arich[3].feb[3].t1 : float(31.125)
arich[3].feb[3].t2 : float(31)
arich[3].feb[4].t1 : float(31.75)
arich[3].feb[4].t2 : float(31.5625)
arich[3].feb[5].t1 : float(31.75)
arich[3].feb[5].t2 : float(31.6875)
[2018-10-01 13:06:52] 
arich[0].temp : float(32.1875)
arich[0].feb[0].t1 : float(30.9375)
arich[0].feb[0].t2 : float(30.9375)
arich[0].feb[1].t1 : float(31.125)
arich[0].feb[1].t2 : float(31.125)
arich[0].feb[2].t1 : float(30.8125)
arich[0].feb[2].t2 : float(30.75)
arich[0].feb[3].t1 : float(31.1875)
arich[0].feb[3].t2 : float(30.9375)
arich[0].feb[4].t1 : float(31.6875)
arich[0].feb[4].t2 : float(31.625)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(31.9375)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(31.625)
arich[1].feb[1].t2 : float(31.6875)
arich[1].feb[2].t1 : float(31.3125)
arich[1].feb[2].t2 : float(31.25)
arich[1].feb[3].t1 : float(31.4375)
arich[1].feb[3].t2 : float(31.4375)
arich[1].feb[4].t1 : float(30.9375)
arich[1].feb[4].t2 : float(30.75)
arich[1].feb[5].t1 : float(31.375)
arich[1].feb[5].t2 : float(31.25)
arich[2].temp : float(32.125)
arich[2].feb[0].t1 : float(31.5)
arich[2].feb[0].t2 : float(31.5625)
arich[2].feb[1].t1 : float(30.875)
arich[2].feb[1].t2 : float(30.625)
arich[2].feb[2].t1 : float(31.25)
arich[2].feb[2].t2 : float(31.3125)
arich[2].feb[3].t1 : float(30.75)
arich[2].feb[3].t2 : float(30.8125)
arich[2].feb[4].t1 : float(30.3125)
arich[2].feb[4].t2 : float(30.25)
arich[2].feb[5].t1 : float(31.0625)
arich[2].feb[5].t2 : float(31.1875)
arich[3].temp : float(30.625)
arich[3].feb[0].t1 : float(31.5625)
arich[3].feb[0].t2 : float(31.5625)
arich[3].feb[1].t1 : float(31.8125)
arich[3].feb[1].t2 : float(31.75)
arich[3].feb[2].t1 : float(30.75)
arich[3].feb[2].t2 : float(30.5625)
arich[3].feb[3].t1 : float(31.125)
arich[3].feb[3].t2 : float(31)
arich[3].feb[4].t1 : float(31.75)
arich[3].feb[4].t2 : float(31.5625)
arich[3].feb[5].t1 : float(31.75)
arich[3].feb[5].t2 : float(31.6875)
[2018-10-01 13:11:50] 
arich[0].temp : float(32.1875)
arich[0].feb[0].t1 : float(31)
arich[0].feb[0].t2 : float(31)
arich[0].feb[1].t1 : float(31.1875)
